name,synonyms
Acral lentiginous melanoma,"['ALM', 'Acral Lentiginous Melanoma', 'Malignant', 'Malignant Acral Lentiginous Melanoma', 'acral lentiginous malignant melanoma', 'acral lentiginous malignant melanoma of skin', 'acral lentiginous melanoma malignant', 'acral melanoma', 'palmar/plantar melanoma', 'subungual melanoma']"
Acute myeloid leukemia,"['AML', 'AML Acute Myeloid Leukemia', 'AML acute myeloid leukaemia', 'ANLL', 'Acute', 'Acute Myeloblastic Leukaemia', 'Acute Myeloblastic Leukemia', 'Acute Myelogenous Leukaemia', 'Acute Myelogenous Leukemia', 'Acute Myeloid Leukaemia', 'Leukemia', 'Myelocytic', 'acute Nonlymphocytic leukaemia', 'acute Nonlymphocytic leukemia', 'acute granulocytic leukaemia', 'acute granulocytic leukemia', 'acute myelocytic leukaemia', 'acute myelocytic leukemia', 'acute myelogenous leukemias', 'acute myeloid leukemia', 'acute myeloid leukemia somatic', 'acute non lymphoblastic leukaemia', 'acute non lymphoblastic leukemia', 'hematopoeitic acute Myleogenous leukaemia', 'hematopoeitic acute Myleogenous leukemia', 'leukemia acute myelogenous', 'leukemia acute myeloid', 'leukemia acute myeloid autosomal dominant somatic mutation', 'leukemia acute myeloid reduced survival in somatic', 'leukemia acute myeloid somatic', 'leukemia acute myeloid susceptibility to', 'leukemia acute myeloid susceptibility to autosomal dominant somatic mutation', 'leukemia myelocytic acute', 'myeloid leukemia acute', 'myeloid leukemia acute M4/M4Eo subtype somatic']"
Adenoid cystic cancer,"['adenocystic carcinoma', 'adenoid cystic cancer', 'adenoid cystic carcinoma', 'cribriform carcinoma', 'cylindroid adenocarcinoma', 'cylindroma']"
Adrenal cancer,"['Carcinoma Of The Adrenal Gland', 'adrenal gland carcinoma', 'carcinoma of adrenal gland']"
Adrenocortical cancer,"['ACC', 'Adenoid Cystic Carcinoma', 'Adrenal Cortical Carcinoma', 'Carcinoma Of The Adrenal Cortex', 'adenocarcinoma adrenocortical malignant', 'adrenal cortex adenocarcinoma', 'adrenal cortex cancer', 'adrenal cortex carcinoma', 'adrenal cortical adenocarcinoma', 'adrenal cortical tumors', 'adrenal cortical tumours', 'adrenocortical cancer', 'adrenocortical carcinoma', 'cancer of the adrenal cortex', 'carcinoma adrenocortical malignant', 'carcinoma of adrenal cortex', 'cortical cell carcinoma', 'malignant adrenocortical tumor', 'malignant adrenocortical tumour', 'malignant neoplasm of adrenal cortex', 'malignant tumor of adrenal cortex', 'malignant tumour of adrenal cortex']"
Alveolar rhabdomyosarcoma,"['ARMS', 'Alveolar Childhood Rhabdomyosarcoma', 'RMS2', 'alveolar rhabdomyosarcoma', 'monomorphous round cell rhabdomyosarcoma', 'paediatric alveolar rhabdomyosarcoma', 'pediatric alveolar rhabdomyosarcoma', 'rhabdomyosarcoma 2', 'rhabdomyosarcoma 2 alveolar somatic mutation', 'rhabdomyosarcoma alveolar', 'rhabdomyosarcoma alveolar somatic mutation', 'rhabdomyosarcoma type 2']"
Anaplastic ependymoma,"['Anaplastic', 'Ependymoma', 'Undifferentiated Ependymoma', 'WHO grade III ependymal neoplasm', 'WHO grade III ependymal tumor', 'WHO grade III ependymal tumour', 'anaplastic ependymal neoplasm', 'anaplastic ependymal tumor', 'anaplastic ependymal tumour', 'anaplastic ependymoma', 'ependymal tumors', 'ependymal tumours', 'ependymoma anaplastic malignant', 'ependymoma malignant', 'high grade ependymoma', 'malignant ependymoma', 'undifferentiated ependymal neoplasm', 'undifferentiated ependymal tumor', 'undifferentiated ependymal tumour']"
Angiosarcoma,"['Hemangiosarcoma', 'angiosarcoma', 'blood vessel sarcoma', 'hemangiosarcoma malignant', 'malignant angioendothelioma', 'malignant hemangioendothelioma', 'sarcoma of blood vessel', 'vascular sarcoma']"
Astrocytoma,"['Astrocytic Tumor', 'Astrocytoma Of Brain', 'Astrocytoma Of Cerebrum', 'Astroglioma', 'Cerebral Astrocytoma', 'astrocytic neoplasm', 'astrocytoma', 'astrocytoma no ICD O subtype']"
Basal cell cancer,"['BCC', 'Basal Cell Cancer', 'Basal Cell Carcinoma Of Skin', 'Basal Cell Neoplasm', 'Basal Cell Tumor', 'Epithelioma Basal Cell', 'Malignant Basal Cell Neoplasm', 'Malignant Basal Cell Tumor', 'Rodent Ulcer', 'basal cell carcinoma', 'basal cell carcinoma of the skin', 'basal cell epithelioma', 'basal cell skin carcinoma', 'basal cell tumour', 'malignant basal cell tumour', 'skin basal cell cancer', 'skin basal cell carcinoma']"
Biliary tract cancer,"['Malignant Tumour Of Biliary Tract', 'biliary tree cancer', 'cancer of biliary tree', 'malignant biliary tree neoplasm', 'malignant neoplasm of biliary tree', 'malignant tumor of biliary tract']"
Bladder cancer,"['Carcinoma Of Urinary Bladder', 'bladder cancer', 'bladder carcinoma', 'cancer of bladder', 'cancer of the bladder', 'cancer of the urinary bladder', 'cancer of urinary bladder', 'carcinoma bladder', 'carcinoma of bladder', 'carcinoma of the bladder', 'carcinoma of the urinary bladder', 'urinary bladder cancer', 'urinary bladder carcinoma']"
Bladder urothelial cancer,"['BLCA', 'Bladder Transitional Cell Carcinoma', 'Transitional Cell Carcinoma Of Bladder', 'Urinary Bladder Urothelial Carcinoma', 'Urothelial Bladder Carcinoma', 'bladder urothelial cancer', 'bladder urothelial carcinoma', 'transitional cell carcinoma of the urinary bladder', 'urinary bladder transitional cell carcinoma', 'urothelial carcinoma of the urinary bladder']"
Bone cancer,"['Bone cancer', 'Cancer Of Bone']"
Breast cancer,"['Breast Tumor', 'Malignant Neoplasm Of Breast', 'Malignant Tumor Of The Breast', 'Mammary Cancer', 'Mammary Tumor', 'Primary Breast Cancer', 'breast cancer', 'breast tumour', 'cancer of breast', 'malignant breast neoplasm', 'malignant breast tumor', 'malignant breast tumour', 'malignant neoplasm of the breast', 'malignant tumor of breast', 'malignant tumour of breast', 'malignant tumour of the breast', 'mammary neoplasm', 'mammary tumour']"
Cervix cancer,"['Cancer Of Cervix', 'Carcinoma Cervix Uteri', 'Carcinoma Of Cervix', 'Carcinoma Of The Cervix Uteri', 'cancer of the cervix', 'cancer of the uterine cervix', 'cancer of uterine cervix', 'carcinoma of cervix uteri', 'carcinoma of the cervix', 'carcinoma of the uterine cervix', 'carcinoma of uterine cervix', 'cervical cancer', 'cervical cancer NOS', 'cervical carcinoma', 'cervix cancer', 'cervix carcinoma', 'cervix uteri carcinoma', 'uterine cervix cancer', 'uterine cervix carcinoma']"
Cholangiocarcinoma,"['Cholangiolocellular cancer', 'CLC', 'cholangiocarcinoma of intralobular bile duct', 'cholangiolocellular carcinoma', 'intralobular bile duct cholangiocarcinoma']"
Chondrosarcoma,"['Cartilaginous Cancer', 'Chondrosarcoma Of Bone', 'Primary Chondrosarcoma Of The Bone', 'chondrosarcoma', 'chondrosarcoma malignant', 'chondrosarcoma somatic mutation']"
Chordoma,"['CHDM', 'Notochordoma', 'chordoma', 'chordoma malignant', 'chordoma susceptibility to', 'notochordal sarcoma', 'susceptibility to chordoma']"
Clear cell sarcoma,"['Adult Soft Part Clear Cell Sarcoma', 'Clear Cell Sarcoma Of Soft Parts', 'Malignant', 'Malignant Melanoma Of Soft Tissues', 'Melanoma', 'Of Soft Parts', 'chordoid sarcoma', 'clear cell sarcoma', 'clear cell sarcoma not kidney', 'clear cell sarcoma of soft tissue', 'clear cell sarcoma/malignant melanoma of soft parts', 'malignant melanoma of soft parts', 'malignant melanoma of the soft parts', 'melanoma malignant of soft parts']"
